audit_id,domain,module,capability,feature_area,user_role,scenario_type,question,acceptance_intent,priority,weight,release_blocker,market_relevance_pl,data_sensitivity,security_impact,requires_backend,requires_frontend,requires_database,requires_api,requires_async_jobs,requires_integrations,requires_permissions,requires_audit_log,requires_encryption,expected_evidence,positive_code_signals,negative_code_signals,manual_test_steps,expected_outcome,edge_cases,dependencies,applicability,analysis_status,verdict,confidence_score,confidence_reason,code_references,api_endpoints,db_entities,ui_locations,test_artifacts,missing_artifacts,gap_summary,remediation_hint,owner,notes
F018,Functional,Open Banking,,,End user,,Can a user connect accounts from multiple Polish banks in one profile?,,High,7,YES,YES,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Multi-bank support; account aggregation; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No bank connections,None,,,,,Provider aggregation,No aggregation,Add provider interface,Backend/BA,
F019,Functional,Accounts,,,End user,,Can a user mark an account as hidden from dashboards without deleting it?,,Low,1,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Hidden flag; dashboard filters; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No hidden flag on Account,app/models/account.py,,,,,hidden column on accounts table,Cannot hide accounts without archiving,Add is_hidden field,Backend/BA,
F020,Functional,Accounts,,,End user,,Can a user archive an account while preserving history?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Archive workflow; data retention; reports; tests,,,,,,,Applicable,COMPLETED,PARTIALLY_SUPPORTED,80,has is_active flag,app/models/account.py,,,,,Full archive dashboard views,UI may not fully respect archive vs active for reports,Review archive filters in queries,Backend/BA,
F021,Functional,Cash Tracking,,,End user,,"Can a user create cash wallets for physical cash in PLN, EUR, USD, and other currencies?",,High,7,YES,YES,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Wallet model; multi-currency support; UI; tests,,,,,,,Applicable,COMPLETED,SUPPORTED,100,account_type strictly enforces BANK and CASH,app/models/account.py,,,,,None,None,None,Backend/BA,
F022,Functional,Cash Tracking,,,End user,,"Can a user record cash held in multiple locations such as wallet, home safe, or office drawer?",,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Location field; balance views; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No location field on Account,app/models/account.py,,,,,location string,Cannot segment cash by physical location,Add location field,Backend/BA,
F023,Functional,Accounts,,,End user,,"Can a user track prepaid cards, gift cards, and payment wallet balances?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Account types; UI; ledger handling; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,DB constraint restricts type to BANK or CASH,app/models/account.py,,,,,Enum expansion for PREPAID/WALLET,Cannot track other money pools natively,Expand account_type check constraint,Backend/BA,
F024,Functional,Accounts,,,End user,,"Can a user track debit, credit, savings, brokerage, pension, and loan accounts in one system?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Account taxonomy; reports; UI; tests,,,,,,,Applicable,COMPLETED,PARTIALLY_SUPPORTED,50,"Separate InvestmentAccount model exists, but core accounts are just BANK/CASH","app/models/account.py, investment_account.py",,,,,Unified dashboard for all types,Accounts are fragmented across different tables,Use polymorphism or unify ledgers,Backend/BA,
F025,Functional,Balances,,,End user,,"Can a user see current balance, available balance, and booked balance separately where relevant?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Balance model; UI cards; provider mapping; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,Only single balance concepts exist,"app/models/account.py, balance_snapshot.py",,,,,available/booked splits,No difference between cleared and available,Add booked_balance field and distinct calculation,Backend/BA,
F026,Functional,Transactions,,,End user,,Can the platform distinguish cleared transactions from pending transactions?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Transaction status model; UI; sync mapping; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No pending status on expenses/incomes,app/models/expense_item.py,,,,,status enum on transactions,Cannot track uncleared items,Add is_cleared or status to entries,Backend/BA,
F027,Functional,Transactions,,,End user,,Can the platform ingest historical transactions from bank feeds for a configurable lookback period?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Sync config; provider requests; imported history; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No ingest jobs,None,,,,,Data loaders,No import limits or lookbacks,Implement backfill logic,Backend/BA,
F028,Functional,Imports,,,End user,,"Can a user import transactions from CSV, XLSX, or PDF statements?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Import UI; parsers; sample files; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No CSV/PDF parsers in codebase,None,,,,,"Parser classes, upload endpoints",Cannot manually upload statements,Add parsing service,Backend/BA,
F029,Functional,Imports,,,End user,,"Can imported files be mapped interactively to account, date, amount, merchant, currency, and category fields?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Mapping UI; parser rules; saved mappings; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No mapping UI/rules,None,,,,,Mapping DB config,Cannot map imported columns,Add ImportMapping models,Backend/BA,
F030,Functional,Imports,,,End user,,Can duplicate transactions be detected across imports and bank syncs?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Dedup logic; matching rules; test cases,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No dedup hashes,None,,,,,source_hash columns,Imports would duplicate data,Add transaction hash field on save,Backend/BA,
F031,Functional,Transactions,,,End user,,"Can a user manually create income, expense, transfer, refund, fee, and adjustment transactions?",,High,7,YES,NO,MEDIUM,LOW,YES,NO,NO,YES,NO,NO,NO,NO,NO,Transaction form; API; ledger entries; tests,,,,,,,Applicable,COMPLETED,SUPPORTED,100,"Expense, Income, and InvestmentTransfer entities exist",app/models/*,,,,,None,None,None,Backend/BA,
F032,Functional,Transfers,,,End user,,Can internal transfers between own accounts be recognized automatically instead of counted as income and expense?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Transfer detection rules; reports; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No internal transfer model for basic accounts,None,,,,,Transfer entity,Internal transfers counted as income/expense,Add InternalTransfer model linking two accounts,Backend/BA,
F033,Functional,Transactions,,,End user,,Can a user split one transaction into multiple categories?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Split UI; ledger logic; reports; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No line-item splits on expense items,app/models/expense_item.py,,,,,ExpenseLineItem or parent_id structure,Cannot split one receipt across categories,Migrate to a header->lines ledger design,Backend/BA,
F034,Functional,Transactions,,,End user,,"Can a user attach notes, files, receipts, or invoice images to a transaction?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Attachment flow; storage handling; UI; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No attachment models,app/models/expense_item.py,,,,,Attachment/Receipt entity,Cannot attach files to transactions,Add S3 upload support and Attachment model,Backend/BA,
F035,Functional,Transactions,,,End user,,Can a user add VAT-related or tax-related tags to a transaction for later filtering?,,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Tag model; filter UI; export fields; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No tag arrays or tax fields on expenses,app/models/expense_item.py,,,,,"tags column, vat_rate",Cannot track custom tags,Add JSONB tags column or Tag link table,Backend/BA,
F036,Functional,Categorization,,,End user,,Can a user define custom categories and subcategories?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,YES,NO,NO,NO,NO,NO,NO,Category management UI; DB model; tests,,,,,,,Applicable,COMPLETED,SUPPORTED,100,ExpenseCategory model supports hierarchy,app/models/expense_category.py,,,,,None,None,None,Backend/BA,
F037,Functional,Categorization,,,End user,,"Can default categories be localized for Polish spending habits such as czynsz, media, paliwo, rata, and BLIK transfer?",,Medium,4,NO,YES,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Localized seed data; UI labels; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,"No translation logic for categories, relying on user input or hardcoded seed",app/models/expense_category.py,,,,,locale handling for system categories,Polish default names missing or hardcoded poorly,Update seed files with locale mapping,Backend/BA,
F038,Functional,Categorization,,,End user,,"Can a user create rule-based auto-categorization by merchant, amount range, keyword, bank account, or transaction type?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Rules engine; UI builder; rule tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No rules engine,None,,,,,CategorizationRule model,No auto-categorization,Implement simple rules engine based on merchant string,Backend/BA,
F039,Functional,Categorization,,,End user,,Can categorization rules be prioritized and conflict-resolved predictably?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Rule priority model; test cases; logs,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No rules engine,None,,,,,Rule priorities,No rules priority,Add priority to rules table,Backend/BA,
F040,Functional,Categorization,,,End user,,Can a user bulk recategorize past transactions after changing a rule?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,YES,NO,NO,NO,NO,Bulk update flow; background job; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No recategorize bulk job,None,,,,,Bulk update logic,Cannot retrospectively fix rules,Add celery task to re-run rules against past data,Backend/BA,
F041,Functional,Categorization,,,End user,,Can the system learn from repeated user corrections to suggested categories?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,YES,NO,NO,NO,NO,NO,NO,Suggestion model; feedback loop; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No LLM or suggestion machine learning pattern,None,,,,,Suggestion models,No smart feedback loop,Add AI categorization service,Backend/BA,
F042,Functional,Recurring Transactions,,,End user,,Can recurring income and recurring expenses be detected automatically?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Pattern detection logic; UI suggestions; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F043,Functional,Planning,,,End user,,Can a user schedule planned transactions that have not yet happened?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Planned transaction model; calendar view; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No scheduled or planned transaction model,None,,,,,Feature absent,Cannot schedule future unbooked items,Requires new epic,Backend/Frontend,
F044,Functional,Planning,,,End user,,Can the system compare planned versus actual cash flow by category and month?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Reporting logic; charts; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No planned vs actual logic,None,,,,,Feature absent,No variance reporting for plans,Requires new epic,Backend/Frontend,
F045,Functional,Budgeting,,,End user,,"Can a user build monthly, quarterly, and annual budgets?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,YES,NO,NO,NO,NO,NO,NO,Budget UI; DB model; reports; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No Budget entity in DB,None,,,,,Feature absent,No core budgeting capability,Requires new epic,Backend/Frontend,
F046,Functional,Budgeting,,,End user,,"Can budgets be created per category, subcategory, account, or portfolio?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Budget dimensions; UI; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No Budget dimensions,None,,,,,Feature absent,Cannot budget by category,Requires new epic,Backend/Frontend,
F047,Functional,Budgeting,,,End user,,Can the platform support rollover budgets from one month to the next?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Rollover logic; settings; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No Rollover budget logic,None,,,,,Feature absent,No rollover budgets,Requires new epic,Backend/Frontend,
F048,Functional,Budgeting,,,End user,,"Can a user configure alerts when spending reaches 50 percent, 80 percent, 100 percent, and over-budget levels?",,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Alert rules; notification engine; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No Budget alert engine,None,,,,,Feature absent,No budget alerts,Requires new epic,Backend/Frontend,
F049,Functional,Budgeting,,,End user,,Can a user view budget performance in both absolute amounts and percentages?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Dashboard widgets; calculations; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No Budget reporting UI,None,,,,,Feature absent,No budget dashboards,Requires new epic,Backend/Frontend,
F050,Functional,Budgeting,,,End user,,Can a user exclude selected transactions from budgets without deleting them?,,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Exclude flag; UI control; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No Budget entity,None,,,,,Feature absent,Cannot exclude from budget,Requires new epic,Backend/Frontend,
F051,Functional,Analytics,,,End user,,Can a user mark certain inflows or outflows as one-off and exclude them from trend analysis?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Flags; reporting filters; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No one-off flag on expenses,app/models/expense_item.py,,,,,Feature absent,Cannot exclude outliers from trends,Requires new epic,Backend/Frontend,
F052,Functional,Search & Filters,,,End user,,"Can a user search all transactions by merchant, note, tag, amount, category, or date range?",,High,7,YES,NO,MEDIUM,LOW,YES,YES,NO,YES,NO,NO,NO,NO,NO,Search index; filter UI; API; tests,,,,,,,Applicable,COMPLETED,PARTIALLY_SUPPORTED,60,"Some filtering in Dash frontend, no comprehensive search index",frontend/app/,,,,,Feature absent,Global search missing,Requires new epic,Backend/Frontend,
F053,Functional,Search & Filters,,,End user,,Can filters be combined and saved as reusable views?,,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Saved view model; UI; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No SavedView model,None,,,,,Feature absent,Cannot save custom filters,Requires new epic,Backend/Frontend,
F054,Functional,Dashboards,,,End user,,"Can a user create custom dashboards for spending, net worth, cash flow, and investment performance?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Dashboard builder; widgets; tests,,,,,,,Applicable,COMPLETED,SUPPORTED,90,Plotly Dash handles dashboarding for cashflow,frontend/app/layouts/,,,,,Feature absent,None,Requires new epic,Backend/Frontend,
F055,Functional,Dashboards,,,End user,,"Can a dashboard show balances by institution, account, currency, and asset class?",,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Aggregation logic; charts; tests,,,,,,,Applicable,COMPLETED,SUPPORTED,90,Dashboards group by type,frontend/app/,,,,,Feature absent,None,Requires new epic,Backend/Frontend,
F056,Functional,Net Worth,,,End user,,"Can the system calculate total net worth across cash, bank balances, investments, receivables, liabilities, and suspended funds?",,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Net worth engine; reports; tests,,,,,,,Applicable,COMPLETED,SUPPORTED,100,CalculationPeriod handles net worth snapshotting,app/models/calculation_period.py,,,,,Feature absent,None,Requires new epic,Backend/Frontend,
F057,Functional,Net Worth,,,End user,,"Can the user choose whether suspended or blocked funds count toward net worth, liquid cash, or neither?",,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Configuration rules; calculations; tests,,,,,,,Applicable,COMPLETED,PARTIALLY_SUPPORTED,80,"Calculation handles it, but user configurability for flags missing",app/services/reconciliation_service.py,,,,,Feature absent,Hardcoded inclusion rules,Requires new epic,Backend/Frontend,
F058,Functional,Reserves & Funds,,,End user,,"Can a user track money reserved for taxes, rent, travel, emergency fund, or sinking funds?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Reserve buckets; UI; reports; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No Reserve or Bucket model,None,,,,,Feature absent,Cannot track earmarked funds,Requires new epic,Backend/Frontend,
F059,Functional,Reserves & Funds,,,End user,,Can earmarked or reserved money reduce available-to-spend cash while staying in the same bank account?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Available balance logic; UI; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No sub-balances,None,,,,,Feature absent,Cannot deduct reserves from available balance,Requires new epic,Backend/Frontend,
F060,Functional,Reserves & Funds,,,End user,,"Can the system support envelopes, jars, or virtual sub-balances inside one account?",,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Sub-balance model; UX; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No virtual jars,None,,,,,Feature absent,No virtual envelope system,Requires new epic,Backend/Frontend,
F061,Functional,Assets,,,End user,,"Can a user create manual assets such as gold, collectibles, art, watches, or foreign cash?",,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Manual asset forms; valuation fields; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F062,Functional,Liabilities,,,End user,,"Can the system track liabilities such as mortgages, personal loans, credit cards, tax debt, and installment plans?",,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Liability model; schedules; reports; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F063,Functional,Liabilities,,,End user,,"Can liabilities show principal, interest, due date, next installment, and payoff schedule?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Amortization logic; detail UI; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F064,Functional,Analytics,,,End user,,Can the platform calculate debt-to-income and savings-rate style indicators?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Calculation formulas; dashboard widgets; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No advanced analytics formulas,None,,,,,Feature absent,No DTI/Savings rate indicators,Requires new epic,Backend/Frontend,
F065,Functional,Forecasting,,,End user,,Can a user model future cash flow based on known recurring commitments?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Forecast engine; schedule data; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No forecasting engine,None,,,,,Feature absent,No forward-looking cash flow,Requires new epic,Backend/Frontend,
F066,Functional,Calendar,,,End user,,"Can the system provide calendar views of upcoming bills, salaries, subscriptions, and loan payments?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Calendar UI; scheduled item model; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No calendar views or scheduled items,None,,,,,Feature absent,Cannot see upcoming bills chronologically,Requires new epic,Backend/Frontend,
F067,Functional,Subscriptions,,,End user,,Can a user track subscriptions and detect price changes over time?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Recurring merchant logic; change detection; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No Subscription model,None,,,,,Feature absent,Cannot track subscriptions,Requires new epic,Backend/Frontend,
