audit_id,domain,module,capability,feature_area,user_role,scenario_type,question,acceptance_intent,priority,weight,release_blocker,market_relevance_pl,data_sensitivity,security_impact,requires_backend,requires_frontend,requires_database,requires_api,requires_async_jobs,requires_integrations,requires_permissions,requires_audit_log,requires_encryption,expected_evidence,positive_code_signals,negative_code_signals,manual_test_steps,expected_outcome,edge_cases,dependencies,applicability,analysis_status,verdict,confidence_score,confidence_reason,code_references,api_endpoints,db_entities,ui_locations,test_artifacts,missing_artifacts,gap_summary,remediation_hint,owner,notes
F037,Functional,Categorization,,,End user,,"Can default categories be localized for Polish spending habits such as czynsz, media, paliwo, rata, and BLIK transfer?",,Medium,4,NO,YES,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Localized seed data; UI labels; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F038,Functional,Categorization,,,End user,,"Can a user create rule-based auto-categorization by merchant, amount range, keyword, bank account, or transaction type?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Rules engine; UI builder; rule tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F039,Functional,Categorization,,,End user,,Can categorization rules be prioritized and conflict-resolved predictably?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Rule priority model; test cases; logs,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F040,Functional,Categorization,,,End user,,Can a user bulk recategorize past transactions after changing a rule?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,YES,NO,NO,NO,NO,Bulk update flow; background job; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F041,Functional,Categorization,,,End user,,Can the system learn from repeated user corrections to suggested categories?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,YES,NO,NO,NO,NO,NO,NO,Suggestion model; feedback loop; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F042,Functional,Recurring Transactions,,,End user,,Can recurring income and recurring expenses be detected automatically?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Pattern detection logic; UI suggestions; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F043,Functional,Planning,,,End user,,Can a user schedule planned transactions that have not yet happened?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Planned transaction model; calendar view; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F044,Functional,Planning,,,End user,,Can the system compare planned versus actual cash flow by category and month?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Reporting logic; charts; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F045,Functional,Budgeting,,,End user,,"Can a user build monthly, quarterly, and annual budgets?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,YES,NO,NO,NO,NO,NO,NO,Budget UI; DB model; reports; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F046,Functional,Budgeting,,,End user,,"Can budgets be created per category, subcategory, account, or portfolio?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Budget dimensions; UI; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F047,Functional,Budgeting,,,End user,,Can the platform support rollover budgets from one month to the next?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Rollover logic; settings; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F048,Functional,Budgeting,,,End user,,"Can a user configure alerts when spending reaches 50 percent, 80 percent, 100 percent, and over-budget levels?",,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Alert rules; notification engine; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F049,Functional,Budgeting,,,End user,,Can a user view budget performance in both absolute amounts and percentages?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Dashboard widgets; calculations; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F050,Functional,Budgeting,,,End user,,Can a user exclude selected transactions from budgets without deleting them?,,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Exclude flag; UI control; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F051,Functional,Analytics,,,End user,,Can a user mark certain inflows or outflows as one-off and exclude them from trend analysis?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Flags; reporting filters; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F052,Functional,Search & Filters,,,End user,,"Can a user search all transactions by merchant, note, tag, amount, category, or date range?",,High,7,YES,NO,MEDIUM,LOW,YES,YES,NO,YES,NO,NO,NO,NO,NO,Search index; filter UI; API; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F053,Functional,Search & Filters,,,End user,,Can filters be combined and saved as reusable views?,,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Saved view model; UI; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F054,Functional,Dashboards,,,End user,,"Can a user create custom dashboards for spending, net worth, cash flow, and investment performance?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Dashboard builder; widgets; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F055,Functional,Dashboards,,,End user,,"Can a dashboard show balances by institution, account, currency, and asset class?",,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Aggregation logic; charts; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F056,Functional,Net Worth,,,End user,,"Can the system calculate total net worth across cash, bank balances, investments, receivables, liabilities, and suspended funds?",,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Net worth engine; reports; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F057,Functional,Net Worth,,,End user,,"Can the user choose whether suspended or blocked funds count toward net worth, liquid cash, or neither?",,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Configuration rules; calculations; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F058,Functional,Reserves & Funds,,,End user,,"Can a user track money reserved for taxes, rent, travel, emergency fund, or sinking funds?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Reserve buckets; UI; reports; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F059,Functional,Reserves & Funds,,,End user,,Can earmarked or reserved money reduce available-to-spend cash while staying in the same bank account?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Available balance logic; UI; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F060,Functional,Reserves & Funds,,,End user,,"Can the system support envelopes, jars, or virtual sub-balances inside one account?",,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Sub-balance model; UX; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F061,Functional,Assets,,,End user,,"Can a user create manual assets such as gold, collectibles, art, watches, or foreign cash?",,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Manual asset forms; valuation fields; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F062,Functional,Liabilities,,,End user,,"Can the system track liabilities such as mortgages, personal loans, credit cards, tax debt, and installment plans?",,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Liability model; schedules; reports; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F063,Functional,Liabilities,,,End user,,"Can liabilities show principal, interest, due date, next installment, and payoff schedule?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Amortization logic; detail UI; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F064,Functional,Analytics,,,End user,,Can the platform calculate debt-to-income and savings-rate style indicators?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Calculation formulas; dashboard widgets; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F065,Functional,Forecasting,,,End user,,Can a user model future cash flow based on known recurring commitments?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Forecast engine; schedule data; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F066,Functional,Calendar,,,End user,,"Can the system provide calendar views of upcoming bills, salaries, subscriptions, and loan payments?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Calendar UI; scheduled item model; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F067,Functional,Subscriptions,,,End user,,Can a user track subscriptions and detect price changes over time?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Recurring merchant logic; change detection; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F068,Functional,Analytics,,,End user,,Can the platform identify unusual spending spikes relative to prior periods?,,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Anomaly detection logic; insights UI; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F069,Functional,Categorization,,,End user,,Can a user define needs vs wants or other custom classification layers on top of categories?,,Low,1,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Custom dimensions; UI; reports; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F070,Functional,Exports,,,End user,,Can the user export all transactions and balances for offline analysis?,,High,7,YES,NO,MEDIUM,LOW,YES,NO,NO,NO,NO,NO,NO,NO,NO,Export endpoints; CSV/XLSX output; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F071,Functional,Exports,,,End user,,Can exports preserve original identifiers so the data can be reconciled later?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Export schema; source IDs; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F072,Functional,Integrations,,,End user,,Can the system expose an API or integration layer for external reporting tools?,,Medium,4,NO,NO,MEDIUM,LOW,YES,NO,NO,YES,NO,NO,NO,NO,NO,API docs; auth; endpoints; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F073,Functional,Investments,,,End user,,Can the user add a brokerage account manually if no integration exists?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Manual account flow; holdings model; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F074,Functional,Investments,,,End user,,Can the platform connect to investment accounts and keep holdings synchronized?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,YES,YES,NO,NO,NO,Broker integration; sync jobs; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F075,Functional,Investments,,,End user,,Can the platform support Polish and foreign securities in one portfolio?,,High,7,YES,YES,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Instrument model; multi-market support; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F076,Functional,Investments,,,End user,,"Can a user track stocks, ETFs, bonds, mutual funds, options, futures, and structured products?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Asset-type support; UI; reports; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F077,Functional,Investments,,,End user,,"Can a user track units, cost basis, fees, taxes, dividends, and realized gains per instrument?",,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Holding ledger; calculations; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F078,Functional,Investments,,,End user,,"Can the system support multiple cost-basis methods such as FIFO, average cost, or custom-lot selection?",,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Tax lot engine; settings; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F079,Functional,Investments,,,End user,,Can dividends be tracked as cash income and linked back to the source holding?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Dividend events; cash ledger link; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
