audit_id,domain,module,priority,weight,release_blocker,verdict,confidence_score,question,gap_summary,remediation_hint,code_references,missing_artifacts,owner,risk_level,estimated_fix_scope,compliance_tag,notes
F046,Functional,Budgeting,High,7,YES,NOT_SUPPORTED,100,"Can budgets be created per category, subcategory, account, or portfolio?",Cannot budget by category,Requires new epic,None,Feature absent,Backend/Frontend,CRITICAL,XL,,
F052,Functional,Search & Filters,High,7,YES,PARTIALLY_SUPPORTED,60,"Can a user search all transactions by merchant, note, tag, amount, category, or date range?",Global search missing,Requires new epic,frontend/app/,Feature absent,Backend/Frontend,HIGH,M,,
F057,Functional,Net Worth,High,7,YES,PARTIALLY_SUPPORTED,80,"Can the user choose whether suspended or blocked funds count toward net worth, liquid cash, or neither?",Hardcoded inclusion rules,Requires new epic,app/services/reconciliation_service.py,Feature absent,Backend/Frontend,HIGH,M,,
F059,Functional,Reserves & Funds,High,7,YES,NOT_SUPPORTED,100,Can earmarked or reserved money reduce available-to-spend cash while staying in the same bank account?,Cannot deduct reserves from available balance,Requires new epic,None,Feature absent,Backend/Frontend,CRITICAL,L,,
F070,Functional,Exports,High,7,YES,PARTIALLY_SUPPORTED,80,Can the user export all transactions and balances for offline analysis?,Full offline export might be incomplete,Requires new epic,app/api/endpoints/,Feature absent,Backend/Frontend,HIGH,M,,
F071,Functional,Exports,High,7,YES,UNCLEAR,0,Can exports preserve original identifiers so the data can be reconciled later?,Unknown if identifiers are preserved,Requires new epic,None,Feature absent,Backend/Frontend,MEDIUM,S,,
F074,Functional,Investments,High,7,YES,NOT_SUPPORTED,100,Can the platform connect to investment accounts and keep holdings synchronized?,Cannot sync investments,Requires new epic,None,Feature absent,Backend,CRITICAL,XL,,
F075,Functional,Investments,High,7,YES,PARTIALLY_SUPPORTED,40,Can the platform support Polish and foreign securities in one portfolio?,Missing security market identifiers,Requires new epic,app/models/investment.py,Feature absent,Backend,HIGH,XL,,
F076,Functional,Investments,High,7,YES,PARTIALLY_SUPPORTED,50,"Can a user track stocks, ETFs, bonds, mutual funds, options, futures, and structured products?",Missing formal asset classes,Requires new epic,app/models/investment.py,Feature absent,Backend,HIGH,XL,,
F077,Functional,Investments,High,7,YES,NOT_SUPPORTED,100,"Can a user track units, cost basis, fees, taxes, dividends, and realized gains per instrument?",Missing unit/price splitting,Requires new epic,app/models/investment.py,Feature absent,Backend,CRITICAL,XL,,
F078,Functional,Investments,High,7,YES,NOT_SUPPORTED,100,"Can the system support multiple cost-basis methods such as FIFO, average cost, or custom-lot selection?",Cannot calculate cost basis,Requires new epic,None,Feature absent,Backend,CRITICAL,XL,,
F081,Functional,Corporate Actions,High,7,YES,NOT_SUPPORTED,100,"Can stock splits, reverse splits, mergers, delistings, and symbol changes be handled without data loss?",Cannot handle stock splits,Requires new epic,None,Feature absent,Backend,CRITICAL,L,,
F082,Functional,Investments,High,7,YES,NOT_SUPPORTED,100,"Can the platform distinguish market value, cost value, unrealized gain, and realized gain?",Cannot separate realized from unrealized,Requires new epic,None,Feature absent,Backend,CRITICAL,XL,,
F090,Functional,Crypto,High,7,YES,NOT_SUPPORTED,100,"Can the platform track crypto wallets, exchange accounts, and DeFi positions?",No exchange integration,Requires new epic,None,Feature absent,Backend,CRITICAL,XL,,
F091,Functional,Crypto,High,7,YES,NOT_SUPPORTED,100,"Can the system support transfers between exchange, on-chain wallet, and cold wallet without double counting?",Cannot track wallets,Requires new epic,None,Feature absent,Backend,CRITICAL,XL,,
F092,Functional,Crypto,High,7,YES,NOT_SUPPORTED,100,"Can crypto assets include token quantity, acquisition cost, average price, market value, and realized gains?",Missing crypto valuation logic,Requires new epic,None,Feature absent,Backend,CRITICAL,XL,,
F096,Functional,Receivables,High,7,YES,NOT_SUPPORTED,100,Can the system support lending money to friends or family as a tracked receivable?,Missing Receivable model,Requires new epic,app/models/installment_item.py,Feature absent,Backend,CRITICAL,L,,
F097,Functional,Receivables,High,7,YES,NOT_SUPPORTED,100,"Can a user create a receivable with borrower name, amount, currency, due date, and repayment schedule?",Missing Borrower entity,Requires new epic,None,Feature absent,Backend,CRITICAL,L,,
F098,Functional,Receivables,High,7,YES,NOT_SUPPORTED,100,Can partial repayments be recorded over time?,Cannot split receivable payments,Requires new epic,None,Feature absent,Backend,CRITICAL,L,,
F129,Functional,Cross-Platform UX,High,7,YES,PARTIALLY_SUPPORTED,80,"Can the application work well on desktop, tablet, and mobile devices?",Mobile UX is likely degraded,Requires new epic,frontend/app,Feature absent,Backend/Frontend,HIGH,M,,
S142,Security,Authentication,High,7,YES,PARTIALLY_SUPPORTED,75,"Are password complexity, reuse prevention, and breach-password checks enforced?",No advanced password complexity/breach checks,Add zxcvbn or HIBP integration to validators,app/schemas/auth.py,"Password history table, pwned-passwords check",Backend/Security,HIGH,M,"GDPR, AccessControl",
S143,Security,Authentication,High,7,YES,NOT_SUPPORTED,100,Is multi-factor authentication available for all users?,No Two-Factor Authentication,Integrate PyOTP and update login flow,None,"TOTP setup, recovery codes, MFA enforced routes",Backend/Security,CRITICAL,L,"GDPR, AccessControl",
S144,Security,Authentication,High,7,YES,NOT_SUPPORTED,100,"Can MFA be required for high-risk actions such as bank reconnection, export, account deletion, or role changes?",Cannot enforce MFA for sensitive actions,Add a dependency for fresh Auth requirement,None,Step-up auth dependencies,Backend/Security,CRITICAL,L,"GDPR, AccessControl",
S145,Security,Session Management,High,7,YES,PARTIALLY_SUPPORTED,60,"Are session tokens protected against theft, fixation, and replay?",Cannot forcibly revoke JWTs,Migrate to DB-backed active sessions or JWT blacklist,app/api/deps.py,"Session model, JTI tracking, blacklist",Backend/Security,HIGH,M,GDPR,
S148,Security,Session Management,High,7,YES,NOT_SUPPORTED,100,Are refresh tokens rotated and invalidated on logout or compromise?,No refresh token rotation strategy,Add /refresh endpoint and short-lived access tokens,app/api/v1/endpoints/auth.py,"Refresh token endpoint, DB storage for tokens",Backend/Security,CRITICAL,L,GDPR,
S149,Security,Transport Security,High,7,YES,UNCLEAR,0,Is all sensitive data encrypted in transit using modern TLS?,Verify TLS config on AWS API Gateway or NGINX,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,MEDIUM,S,GDPR,
S150,Security,Data Encryption,High,7,YES,NOT_SUPPORTED,100,Is sensitive personal and financial data encrypted at rest?,Missing field-level encryption / KMS integration,Investigate or implement,app/models/,No evidence reviewed yet,Security/Architecture,CRITICAL,XL,"GDPR, Encryption",
S151,Security,Key Management,High,7,YES,NOT_SUPPORTED,100,Are encryption keys stored separately from encrypted data?,Cannot manage encryption keys,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,"GDPR, Encryption",
S152,Security,Key Management,High,7,YES,NOT_SUPPORTED,100,Is key rotation supported without corrupting stored data?,Cannot rotate app-level keys,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,"GDPR, Encryption",
S153,Security,Data Encryption,High,7,YES,NOT_SUPPORTED,100,"Is field-level encryption used for especially sensitive data such as bank account numbers, tax identifiers, or API credentials?","Missing field encryption (account numbers, tokens)",Investigate or implement,app/models/user.py,No evidence reviewed yet,Security/Architecture,CRITICAL,XL,"GDPR, Encryption",
S155,Security,Environment Management,High,7,YES,UNCLEAR,0,"Are production, test, and development environments strictly segregated?",Audit deployment pipelines for env segregation,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,MEDIUM,S,GDPR,
S156,Security,Environment Management,High,7,YES,NOT_SUPPORTED,100,Is real customer data prohibited from non-production environments unless irreversibly masked?,No production DB masking pipelines for lower envs,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,GDPR,
S157,Security,Backups,High,7,YES,UNCLEAR,0,Are database backups encrypted?,Verify RDS automated backup encryption,Investigate or implement,docker-compose.yml,No evidence reviewed yet,Security/Architecture,MEDIUM,S,GDPR,
S158,Security,Backups,High,7,YES,UNCLEAR,0,Are backup restoration procedures tested regularly?,Establish and document backup restoration drills,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,MEDIUM,S,GDPR,
S159,Security,Backups,High,7,YES,UNCLEAR,0,Is there point-in-time recovery for financial ledgers and core records?,Verify PITR enabled in AWS RDS console,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,MEDIUM,S,GDPR,
S161,Security,Secrets Management,High,7,YES,NOT_SUPPORTED,100,"Are API keys, bank tokens, and webhook secrets rotated and scoped minimally?",No lifecycle management for 3rd party credentials,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,GDPR,
S162,Security,Audit & Logging,High,7,YES,NOT_SUPPORTED,100,"Is every privileged action logged with actor, timestamp, target object, and before/after state?",Zero privileged action traceability,Investigate or implement,None,Audit payload interceptor,Security/Architecture,CRITICAL,L,"GDPR, Auditability",
S163,Security,Audit & Logging,High,7,YES,NOT_SUPPORTED,100,Are audit logs tamper-evident or write-once protected?,Logs not tamper-evident,Investigate or implement,None,"WORM storage, hashed chains",Security/Architecture,CRITICAL,L,"GDPR, Auditability",
S164,Security,Audit & Logging,High,7,YES,NOT_SUPPORTED,100,"Are sensitive values masked in logs, traces, and error messages?",Sensitive data may leak to logs,Investigate or implement,None,Log masking formatter,Security/Architecture,CRITICAL,L,"GDPR, Auditability",
S165,Security,Data Exposure,High,7,YES,NOT_SUPPORTED,100,"Does the system avoid exposing full account numbers, card details, or personal identifiers in UI or logs?",Full identifiers may surface in UI or logs,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,GDPR,
S166,Security,Authorization,High,7,YES,NOT_SUPPORTED,100,Are role-based access controls enforced server-side rather than only in the frontend?,No role enforcement,Investigate or implement,None,Role dependencies,Security/Architecture,CRITICAL,L,"GDPR, AccessControl",
S169,Security,Abuse Protection,High,7,YES,NOT_SUPPORTED,100,"Are rate limits present for login, registration, password reset, OTP verification, and export endpoints?",Auth endpoints vulnerable to brute-force,Investigate or implement,app/main.py,"slowapi, redis rate limits",Security/Architecture,CRITICAL,L,GDPR,
S170,Security,Abuse Protection,High,7,YES,NOT_SUPPORTED,100,"Are brute-force, credential-stuffing, and bot attacks detected and mitigated?",No credential-stuffing protections,Investigate or implement,None,"reCAPTCHA, WAF rules, lockout mechanics",Security/Architecture,CRITICAL,L,GDPR,
S173,Security,App Security Headers,High,7,YES,NOT_SUPPORTED,100,"Are security headers implemented consistently, such as CSP, HSTS, X-Content-Type-Options, and frame protections where appropriate?",Missing security response headers,Investigate or implement,app/main.py,No evidence reviewed yet,Security/Architecture,CRITICAL,L,GDPR,
S174,Security,Dependency Security,High,7,YES,UNCLEAR,0,Are dependencies continuously scanned for known vulnerabilities?,Verify dependabot or Snyk enabled in GitHub settings,Investigate or implement,.github/,No evidence reviewed yet,Security/Architecture,MEDIUM,S,GDPR,
S175,Security,Secure Coding,High,7,YES,PARTIALLY_SUPPORTED,80,"Is the application protected against SQL injection, XSS, CSRF, SSRF, path traversal, and insecure deserialization?",Needs penetration test validation,Investigate or implement,requirements.txt,No evidence reviewed yet,Security/Architecture,HIGH,M,GDPR,
S176,Security,File Handling,High,7,YES,NOT_SUPPORTED,100,Are uploaded files scanned and validated before storage or opening?,No AV scanning for future receipt attachments,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,GDPR,
S177,Security,Consent & Open Banking,High,7,YES,NOT_SUPPORTED,100,Are bank-consent scopes minimal and clearly explained to the user?,No Open Banking consent scoping,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,XL,"GDPR, OpenBanking",
S178,Security,Consent & Open Banking,High,7,YES,NOT_SUPPORTED,100,Can a user revoke bank access consent without deleting the whole account?,Cannot revoke bank access without deleting account,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,XL,"GDPR, OpenBanking",
S179,Security,Consent & Open Banking,High,7,YES,NOT_SUPPORTED,100,"Does consent capture include timestamp, scope, provider, and proof of user action?",PSD2 compliance traceability missing,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,XL,"GDPR, OpenBanking",
S180,Security,Privacy UX,High,7,YES,UNCLEAR,0,"Are privacy notices and consent screens explicit, granular, and understandable?",Review onboarding privacy consent screens manually,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,MEDIUM,S,GDPR,
S181,Security,Privacy Operations,High,7,YES,PARTIALLY_SUPPORTED,90,"Can the system honor data-subject requests for access, correction, deletion, and portability?",No data portability endpoint or DSAR workflow,Investigate or implement,app/models/*,No evidence reviewed yet,Security/Architecture,HIGH,M,GDPR,
S182,Security,Data Retention,High,7,YES,NOT_SUPPORTED,100,"Is there a retention schedule for financial attachments, logs, and inactive accounts?",Data retained indefinitely by default,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,GDPR,
S183,Security,Data Deletion,High,7,YES,NOT_SUPPORTED,100,Are data deletion routines verified to remove all copies except legally required records?,Cannot verify all copies deleted,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,GDPR,
S184,Security,Incident Response,High,7,YES,UNCLEAR,0,"Is incident detection, escalation, and breach notification workflow documented and testable?",Create and test Incident Response runbook,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,MEDIUM,XL,GDPR,
S185,Security,Incident Response,High,7,YES,UNCLEAR,0,Can the company identify which users and records were affected by a breach within a reasonable time?,Cannot identify affected records without audit trail,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,MEDIUM,XL,GDPR,
S186,Security,Third-Party Risk,High,7,YES,UNCLEAR,0,"Are third-party processors, market-data vendors, and bank aggregators assessed for security and privacy risk?",Perform formal vendor risk assessment,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,MEDIUM,S,GDPR,
S187,Security,Security Assurance,High,7,YES,UNCLEAR,0,Is there evidence of regular penetration testing and remediation tracking?,Schedule and document periodic penetration tests,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,MEDIUM,XL,GDPR,
S188,Security,Security Assurance,High,7,YES,UNCLEAR,0,Are security controls re-tested after major releases?,Add security regression suite to CI/CD pipeline,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,MEDIUM,XL,GDPR,
A191,Architecture,Modularity,High,7,YES,PARTIALLY_SUPPORTED,50,"Is there a clear separation between ledger, accounts, budgeting, investments, reporting, security, and integration modules?",No formal bounded-context separation,Investigate or implement,backend/app/,No evidence reviewed yet,Security/Architecture,HIGH,M,,
A192,Architecture,Integrations,High,7,YES,NOT_SUPPORTED,100,Can a new bank integration be added without changing core transaction logic?,New integrations require core code changes,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,,
A193,Architecture,Extensibility,High,7,YES,PARTIALLY_SUPPORTED,50,Can a new asset type be added without breaking reporting and net-worth calculations?,No extension points for new asset types without migrations,Investigate or implement,app/models/,No evidence reviewed yet,Security/Architecture,HIGH,M,,
A196,Architecture,Scalability,High,7,YES,UNCLEAR,0,Can the ledger handle millions of transactions per tenant without major performance degradation?,Need load tests for high-volume ledger scenarios,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,MEDIUM,S,,
A197,Architecture,Performance,High,7,YES,UNCLEAR,0,Are balance calculations incremental or cached where necessary to avoid full recomputation on every screen?,Profile reconciliation queries with EXPLAIN ANALYZE,Investigate or implement,app/services/reconciliation_service.py,No evidence reviewed yet,Security/Architecture,MEDIUM,S,,
A199,Architecture,Async Processing,High,7,YES,NOT_SUPPORTED,100,Are long-running sync jobs processed asynchronously rather than blocking user requests?,All operations run synchronously in request context,Investigate or implement,requirements.txt,No evidence reviewed yet,Security/Architecture,CRITICAL,L,,
A200,Architecture,Async Processing,High,7,YES,NOT_SUPPORTED,100,Can sync jobs be retried safely without duplicating records?,Re-runs would create duplicate records,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,,
A201,Architecture,Idempotency,High,7,YES,NOT_SUPPORTED,100,"Is the system idempotent for imports, webhooks, and provider callbacks?",Double-posting transactions possible on retry,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,,
A204,Architecture,Resilience,High,7,YES,NOT_SUPPORTED,100,Are provider outages isolated so one failed integration does not affect the rest of the platform?,Provider failure would cascade to full platform,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,,
A206,Architecture,Scalability,High,7,YES,UNCLEAR,0,Can the platform scale horizontally under peak usage such as end-of-month reporting periods?,Verify ECS autoscaling policies,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,MEDIUM,S,,
A208,Architecture,Observability,High,7,YES,NOT_SUPPORTED,100,"Is there monitoring for latency, error rate, queue depth, failed syncs, and stale balances?",Zero production observability,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,,
A214,Architecture,Data Quality,High,7,YES,NOT_SUPPORTED,100,Can corrupted external data be quarantined before it contaminates the core ledger?,Bad external data could contaminate ledger,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,,
A215,Architecture,Traceability,High,7,YES,NOT_SUPPORTED,100,Is every derived metric reproducible from source data and business rules?,Derived metrics cannot be traced to source,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,,
A220,Architecture,Polish Market Readiness,High,7,YES,NOT_SUPPORTED,100,"Are there synthetic test cases covering Polish-market specifics such as PLN base currency, Polish bank feeds, consent expiry, and local payment patterns?",Missing Polish market e2e tests,Investigate or implement,None,No evidence reviewed yet,Security/Architecture,CRITICAL,L,,
F002,Functional,Authentication & Onboarding,Medium,4,NO,NOT_SUPPORTED,100,"Can a user register using Google, Apple, or another federated identity provider?",Federated login is missing,Implement OAuth2 wrappers (Google/Apple) and update User model,app/api/v1/endpoints/auth.py,"OAuth callback, provider adapters, frontend flows",Backend/Security,HIGH,L,AccessControl,
F008,Functional,Tenant & Workspace,Medium,4,NO,NOT_SUPPORTED,100,"Can one user manage multiple households, personal profiles, or finance spaces?",No support for multiple households/workspaces,Shift ownership from User to Workspace ID,app/models/user.py,"Tenant/Workspace model, updated foreign keys",Backend/Security,HIGH,L,,
F009,Functional,Tenant & Workspace,Medium,4,NO,NOT_SUPPORTED,100,"Can a user create separate portfolios for personal finances, family finances, and business-like side activity?",No support for separate internal portfolios,Abstract accounts/budgets under a Portfolio ID,app/models/user.py,"Portfolio entity, UI switcher",Backend/Security,HIGH,L,,
F010,Functional,Collaboration,Medium,4,NO,NOT_SUPPORTED,100,"Can a user invite a spouse, partner, accountant, or advisor with limited permissions?",Cannot collaborate on finances,Requires Workspace implementation first,None,"Invite codes, tokens, email templates",Backend/Security,HIGH,L,,
F017,Functional,Open Banking,Medium,4,NO,NOT_SUPPORTED,100,Can a user connect more than one account from the same bank?,No open banking mapping,Add linked-account entity,None,multi account sync logic,Backend/BA,HIGH,XL,OpenBanking,
F020,Functional,Accounts,Medium,4,NO,PARTIALLY_SUPPORTED,80,Can a user archive an account while preserving history?,UI may not fully respect archive vs active for reports,Review archive filters in queries,app/models/account.py,Full archive dashboard views,Backend/BA,MEDIUM,M,,
F022,Functional,Cash Tracking,Medium,4,NO,NOT_SUPPORTED,100,"Can a user record cash held in multiple locations such as wallet, home safe, or office drawer?",Cannot segment cash by physical location,Add location field,app/models/account.py,location string,Backend/BA,HIGH,L,,
F023,Functional,Accounts,Medium,4,NO,NOT_SUPPORTED,100,"Can a user track prepaid cards, gift cards, and payment wallet balances?",Cannot track other money pools natively,Expand account_type check constraint,app/models/account.py,Enum expansion for PREPAID/WALLET,Backend/BA,HIGH,L,,
F034,Functional,Transactions,Medium,4,NO,NOT_SUPPORTED,100,"Can a user attach notes, files, receipts, or invoice images to a transaction?",Cannot attach files to transactions,Add S3 upload support and Attachment model,app/models/expense_item.py,Attachment/Receipt entity,Backend/BA,HIGH,L,,
F035,Functional,Transactions,Medium,4,NO,NOT_SUPPORTED,100,Can a user add VAT-related or tax-related tags to a transaction for later filtering?,Cannot track custom tags,Add JSONB tags column or Tag link table,app/models/expense_item.py,"tags column, vat_rate",Backend/BA,HIGH,L,,
F037,Functional,Categorization,Medium,4,NO,NOT_SUPPORTED,100,"Can default categories be localized for Polish spending habits such as czynsz, media, paliwo, rata, and BLIK transfer?",Polish default names missing or hardcoded poorly,Update seed files with locale mapping,app/models/expense_category.py,locale handling for system categories,Backend/BA,HIGH,L,,
F041,Functional,Categorization,Medium,4,NO,NOT_SUPPORTED,100,Can the system learn from repeated user corrections to suggested categories?,No smart feedback loop,Add AI categorization service,None,Suggestion models,Backend/BA,HIGH,L,,
F047,Functional,Budgeting,Medium,4,NO,NOT_SUPPORTED,100,Can the platform support rollover budgets from one month to the next?,No rollover budgets,Requires new epic,None,Feature absent,Backend/Frontend,HIGH,XL,,
F048,Functional,Budgeting,Medium,4,NO,NOT_SUPPORTED,100,"Can a user configure alerts when spending reaches 50 percent, 80 percent, 100 percent, and over-budget levels?",No budget alerts,Requires new epic,None,Feature absent,Backend/Frontend,HIGH,XL,,
F049,Functional,Budgeting,Medium,4,NO,NOT_SUPPORTED,100,Can a user view budget performance in both absolute amounts and percentages?,No budget dashboards,Requires new epic,None,Feature absent,Backend/Frontend,HIGH,XL,,
F050,Functional,Budgeting,Medium,4,NO,NOT_SUPPORTED,100,Can a user exclude selected transactions from budgets without deleting them?,Cannot exclude from budget,Requires new epic,None,Feature absent,Backend/Frontend,HIGH,XL,,
F051,Functional,Analytics,Medium,4,NO,NOT_SUPPORTED,100,Can a user mark certain inflows or outflows as one-off and exclude them from trend analysis?,Cannot exclude outliers from trends,Requires new epic,app/models/expense_item.py,Feature absent,Backend/Frontend,HIGH,L,,
F053,Functional,Search & Filters,Medium,4,NO,NOT_SUPPORTED,100,Can filters be combined and saved as reusable views?,Cannot save custom filters,Requires new epic,None,Feature absent,Backend/Frontend,HIGH,L,,
F058,Functional,Reserves & Funds,Medium,4,NO,NOT_SUPPORTED,100,"Can a user track money reserved for taxes, rent, travel, emergency fund, or sinking funds?",Cannot track earmarked funds,Requires new epic,None,Feature absent,Backend/Frontend,HIGH,L,,
F060,Functional,Reserves & Funds,Medium,4,NO,NOT_SUPPORTED,100,"Can the system support envelopes, jars, or virtual sub-balances inside one account?",No virtual envelope system,Requires new epic,None,Feature absent,Backend/Frontend,HIGH,L,,
F064,Functional,Analytics,Medium,4,NO,NOT_SUPPORTED,100,Can the platform calculate debt-to-income and savings-rate style indicators?,No DTI/Savings rate indicators,Requires new epic,None,Feature absent,Backend/Frontend,HIGH,L,,
