id,domain,module,priority,question,expected_evidence,result,notes
F097,Functional,Receivables,High,"Can a user create a receivable with borrower name, amount, currency, due date, and repayment schedule?","Receivable form; DB schema; schedule logic; tests",TBD,
F098,Functional,Receivables,High,"Can partial repayments be recorded over time?","Repayment workflow; balance updates; tests",TBD,
F099,Functional,Receivables,Medium,"Can the system distinguish principal repaid from interest received?","Repayment split logic; reports; tests",TBD,
F100,Functional,Receivables,Medium,"Can reminders be configured for overdue friend or family loans?","Reminder rules; notifications; tests",TBD,
F101,Functional,Receivables,Low,"Can a user track informal loans with no fixed due date?","Optional due date; UI; tests",TBD,
F102,Functional,Receivables,Low,"Can the user record collateral, notes, chat evidence, or contract files against a receivable?","Attachment support; metadata fields; tests",TBD,
F103,Functional,Liabilities,Medium,"Can the system track money the user owes to friends or family as a personal liability?","Liability type; repayment flow; tests",TBD,
F104,Functional,Suspended Funds,High,"Can the platform track money that is frozen, blocked, reserved, disputed, or under chargeback investigation?","Status model; UI; ledger effects; tests",TBD,
F105,Functional,Suspended Funds,High,"Can a user create a suspended funds status with a reason and expected release date?","Status workflow; fields; tests",TBD,
F106,Functional,Suspended Funds,High,"Can the system separate book balance from available liquidity when funds are blocked?","Liquidity logic; dashboard display; tests",TBD,
F107,Functional,Disputes,Medium,"Can disputed card transactions be tracked through status changes such as opened, pending, partially reversed, and resolved?","Dispute lifecycle model; UI; tests",TBD,
F108,Functional,Suspended Funds,Medium,"Can the user record court deposits, brokerage settlement holds, tax reserves, and security deposits?","Custom hold types; reporting; tests",TBD,
F109,Functional,Ownership & Trust,Low,"Can a user tag funds as jointly owned, beneficially owned, or held on behalf of someone else?","Ownership metadata; filters; tests",TBD,
F110,Functional,Valuation,Medium,"Can the platform support manual valuation overrides for assets that do not have live market data?","Override fields; audit logs; tests",TBD,
F111,Functional,FX & Currency,High,"Can the user maintain historical FX rates for past transactions and valuations?","FX table; override UI; tests",TBD,
F112,Functional,FX & Currency,High,"Can the platform show both original currency amount and converted base-currency amount?","Dual amount fields; UI; tests",TBD,
F113,Functional,FX & Currency,High,"Can the system revalue foreign-currency cash and investments using end-of-day or configurable rates?","Revaluation engine; settings; tests",TBD,
F114,Functional,FX & Currency,Medium,"Can the user choose realized FX gain treatment for transfers and spending in foreign currency?","Accounting rules; settings; tests",TBD,
F115,Functional,Reporting,High,"Can the platform produce period-based net worth reports with historical snapshots?","Snapshot model; report generation; tests",TBD,
F116,Functional,Reporting,Medium,"Can the user compare this month against last month, quarter, year, or custom period?","Period comparison engine; UI; tests",TBD,
F117,Functional,Reporting,Medium,"Can charts and reports be filtered by account, family member, tag, category, merchant, or asset type?","Filter layer; chart queries; tests",TBD,
F118,Functional,Insights,Medium,"Can the system surface top spending categories, top merchants, and top balance changes automatically?","Insight queries; UI widgets; tests",TBD,
F119,Functional,Analytics,Medium,"Can the user drill from a KPI card to the underlying transactions or holdings?","Drill-through UX; query links; tests",TBD,
F120,Functional,Reporting,Medium,"Can the platform produce printable or shareable summary reports?","PDF/print view; report export; tests",TBD,
F121,Functional,Custom Metrics,Low,"Can a user define custom KPIs such as monthly burn, passive income, investment contribution rate, or liquidity runway?","Custom formula engine; UI; tests",TBD,
F122,Functional,Forecasting,Medium,"Can the system forecast end-of-month cash based on current trends and scheduled items?","Forecast logic; dashboard display; tests",TBD,
F123,Functional,Scenario Planning,Medium,"Can the user simulate what-if scenarios such as salary drop, extra rent, loan repayment, or market decline?","Scenario engine; saved simulations; tests",TBD,
F124,Functional,Goals,Medium,"Can goals be created for emergency fund, holiday budget, home down payment, or retirement target?","Goal model; UI; tests",TBD,
F125,Functional,Goals,Medium,"Can a goal draw contributions from one or more source accounts automatically or manually?","Contribution rules; transfer logic; tests",TBD,
F126,Functional,Goals,Medium,"Can the system show whether the user is on track for each goal?","Goal progress calculations; UI; tests",TBD,
F127,Functional,Notifications,Medium,"Can notifications be delivered by in-app alert, email, and push notification?","Notification channels; templates; tests",TBD,
F128,Functional,Notifications,Medium,"Can the user fully configure notification preferences by event type?","Preference center; channel rules; tests",TBD,
F129,Functional,Cross-Platform UX,High,"Can the application work well on desktop, tablet, and mobile devices?","Responsive UI; device QA; tests",TBD,
F130,Functional,Mobile UX,High,"Can critical workflows be completed from mobile without losing functionality?","Mobile UX review; user flows; tests",TBD,
F131,Functional,Resilience,High,"Can the platform continue to function when one data provider is temporarily unavailable?","Fallback behavior; degraded mode; tests",TBD,
F132,Functional,Data Correction,High,"Can the user manually override sync failures with corrected data?","Manual correction UI; audit logs; tests",TBD,
F133,Functional,Reconciliation,High,"Can the system surface reconciliation differences between external balances and internal ledger balances?","Reconciliation logic; UI; tests",TBD,
F134,Functional,Reconciliation,Medium,"Can the user accept or reject suggested reconciliation adjustments?","Approval flow; audit trail; tests",TBD,
F135,Functional,Versioning,Medium,"Can deleted or edited financial records be restored from version history?","Version store; restore workflow; tests",TBD,
F136,Functional,Account Closure,High,"Can the user close the account and export all personal financial data before deletion?","Closure flow; export package; tests",TBD,
F137,Functional,Privacy Operations,High,"Can the platform support a full right-to-erasure workflow while preserving legally necessary audit records?","Deletion workflow; retention rules; tests",TBD,
F138,Functional,Privacy Operations,High,"Can a user download all raw and processed personal data in a machine-readable format?","Data portability export; schema docs; tests",TBD,
F139,Functional,Help & Onboarding,Medium,"Can the platform provide onboarding tours, help text, and error messages understandable to non-expert consumers?","UX copy; help flows; usability review",TBD,
F140,Functional,Accessibility,High,"Can the platform support accessibility needs such as keyboard navigation, contrast, screen readers, and readable numeric formatting?","Accessibility audit; semantic UI; tests",TBD,
S141,Security,Authentication,High,"Are all passwords stored using a strong adaptive hash such as Argon2id, bcrypt, or equivalent?","Auth code; hash config; security tests",TBD,
S142,Security,Authentication,High,"Are password complexity, reuse prevention, and breach-password checks enforced?","Password policy; validation rules; tests",TBD,
S143,Security,Authentication,High,"Is multi-factor authentication available for all users?","MFA flows; recovery flow; tests",TBD,
S144,Security,Authentication,High,"Can MFA be required for high-risk actions such as bank reconnection, export, account deletion, or role changes?","Step-up auth logic; policy rules; tests",TBD,
S145,Security,Session Management,High,"Are session tokens protected against theft, fixation, and replay?","Session handling code; cookie config; tests",TBD,
S146,Security,Session Management,High,"Are inactive sessions automatically expired after a configurable timeout?","Timeout config; session policy; tests",TBD,
S147,Security,Session Management,Medium,"Can users view and revoke active sessions by device?","Session UI; revoke endpoint; audit logs",TBD,
S148,Security,Session Management,High,"Are refresh tokens rotated and invalidated on logout or compromise?","Token rotation logic; revocation tests",TBD,
S149,Security,Transport Security,High,"Is all sensitive data encrypted in transit using modern TLS?","TLS config; scanner results; headers",TBD,
S150,Security,Data Encryption,High,"Is sensitive personal and financial data encrypted at rest?","DB/storage encryption config; architecture docs",TBD,
S151,Security,Key Management,High,"Are encryption keys stored separately from encrypted data?","KMS config; architecture docs; access controls",TBD,
S152,Security,Key Management,High,"Is key rotation supported without corrupting stored data?","Rotation process; migration tests; docs",TBD,
S153,Security,Data Encryption,High,"Is field-level encryption used for especially sensitive data such as bank account numbers, tax identifiers, or API credentials?","Entity model; encryption layer; tests",TBD,
S154,Security,Privacy Engineering,Medium,"Is personal data pseudonymised where full identity is not needed for processing?","Data model; processing design; tests",TBD,
S155,Security,Environment Management,High,"Are production, test, and development environments strictly segregated?","Infra config; deployment docs; access controls",TBD,
S156,Security,Environment Management,High,"Is real customer data prohibited from non-production environments unless irreversibly masked?","Data policy; masking process; audit evidence",TBD,
S157,Security,Backups,High,"Are database backups encrypted?","Backup config; storage policy; tests",TBD,
S158,Security,Backups,High,"Are backup restoration procedures tested regularly?","Restore logs; runbooks; drill evidence",TBD,
S159,Security,Backups,High,"Is there point-in-time recovery for financial ledgers and core records?","DB config; recovery tests; docs",TBD,
S160,Security,Secrets Management,High,"Are secrets stored in a secure secret-management solution rather than source code or plain config files?","Secret store config; code review; CI checks",TBD,
S161,Security,Secrets Management,High,"Are API keys, bank tokens, and webhook secrets rotated and scoped minimally?","Secret policies; rotation logs; tests",TBD,
S162,Security,Audit & Logging,High,"Is every privileged action logged with actor, timestamp, target object, and before/after state?","Audit log schema; event samples; tests",TBD,
S163,Security,Audit & Logging,High,"Are audit logs tamper-evident or write-once protected?","Log pipeline; immutability controls; docs",TBD,
S164,Security,Audit & Logging,High,"Are sensitive values masked in logs, traces, and error messages?","Logging config; sample logs; tests",TBD,
S165,Security,Data Exposure,High,"Does the system avoid exposing full account numbers, card details, or personal identifiers in UI or logs?","Masking rules; UI review; tests",TBD,
S166,Security,Authorization,High,"Are role-based access controls enforced server-side rather than only in the frontend?","Backend auth checks; penetration tests",TBD,
S167,Security,Authorization,High,"Are object-level authorization checks present on every read, write, update, and delete endpoint?","API code review; integration tests",TBD,
S168,Security,Authorization,High,"Can one user ever access another user’s data by changing identifiers in URLs or API requests?","Access control tests; pentest evidence",TBD,
S169,Security,Abuse Protection,High,"Are rate limits present for login, registration, password reset, OTP verification, and export endpoints?","Gateway config; throttle tests; docs",TBD,
S170,Security,Abuse Protection,High,"Are brute-force, credential-stuffing, and bot attacks detected and mitigated?","Detection rules; WAF config; security alerts",TBD,
S171,Security,Threat Monitoring,Medium,"Are suspicious login attempts, impossible travel, or new-device access events monitored?","Security events; alert rules; logs",TBD,
S172,Security,Threat Monitoring,Medium,"Can a user receive alerts for high-risk security events?","Notification templates; user prefs; tests",TBD,
S173,Security,App Security Headers,High,"Are security headers implemented consistently, such as CSP, HSTS, X-Content-Type-Options, and frame protections where appropriate?","Response headers; scanner results",TBD,
S174,Security,Dependency Security,High,"Are dependencies continuously scanned for known vulnerabilities?","CI pipeline; scan reports; remediation logs",TBD,
S175,Security,Secure Coding,High,"Is the application protected against SQL injection, XSS, CSRF, SSRF, path traversal, and insecure deserialization?","Security tests; code review; pentest results",TBD,
S176,Security,File Handling,High,"Are uploaded files scanned and validated before storage or opening?","Upload service; AV scanning; MIME validation; tests",TBD,
S177,Security,Consent & Open Banking,High,"Are bank-consent scopes minimal and clearly explained to the user?","Consent UI; provider scopes; policy docs",TBD,
S178,Security,Consent & Open Banking,High,"Can a user revoke bank access consent without deleting the whole account?","Consent revoke flow; provider callback; tests",TBD,
S179,Security,Consent & Open Banking,High,"Does consent capture include timestamp, scope, provider, and proof of user action?","Consent records; audit logs; DB schema",TBD,
S180,Security,Privacy UX,High,"Are privacy notices and consent screens explicit, granular, and understandable?","UI copy; legal review; UX evidence",TBD,
S181,Security,Privacy Operations,High,"Can the system honor data-subject requests for access, correction, deletion, and portability?","DSAR workflows; admin tools; tests",TBD,
S182,Security,Data Retention,High,"Is there a retention schedule for financial attachments, logs, and inactive accounts?","Retention policy; scheduled jobs; docs",TBD,
S183,Security,Data Deletion,High,"Are data deletion routines verified to remove all copies except legally required records?","Deletion tests; storage review; logs",TBD,
S184,Security,Incident Response,High,"Is incident detection, escalation, and breach notification workflow documented and testable?","IR runbook; drill results; ownership matrix",TBD,
S185,Security,Incident Response,High,"Can the company identify which users and records were affected by a breach within a reasonable time?","Forensics process; log correlation; drill evidence",TBD,
S186,Security,Third-Party Risk,High,"Are third-party processors, market-data vendors, and bank aggregators assessed for security and privacy risk?","Vendor reviews; DPAs; risk register",TBD,
S187,Security,Security Assurance,High,"Is there evidence of regular penetration testing and remediation tracking?","Pentest reports; remediation tickets",TBD,
S188,Security,Security Assurance,High,"Are security controls re-tested after major releases?","Regression security tests; release checklist",TBD,
S189,Security,Threat Monitoring,Medium,"Is there anomaly detection for unusual exports, scraping, or mass data access?","Detection logic; SIEM alerts; tests",TBD,
S190,Security,Data Integrity,High,"Are customer-visible balances protected from race conditions or stale reads that could mislead users?","Concurrency controls; caching strategy; tests",TBD,
A191,Architecture,Modularity,High,"Is there a clear separation between ledger, accounts, budgeting, investments, reporting, security, and integration modules?","Architecture docs; repository structure; code review",TBD,
A192,Architecture,Integrations,High,"Can a new bank integration be added without changing core transaction logic?","Plugin pattern; interface contracts; tests",TBD,
A193,Architecture,Extensibility,High,"Can a new asset type be added without breaking reporting and net-worth calculations?","Domain model; test coverage; extension points",TBD,
A194,Architecture,Data Architecture,High,"Does the data model distinguish source data, normalized data, and user-adjusted data?","Schema review; ETL flow; docs",TBD,
A195,Architecture,Data Architecture,High,"Is there a canonical transaction model across banks, brokers, crypto exchanges, and manual entries?","Entity design; mapping layer; tests",TBD,
A196,Architecture,Scalability,High,"Can the ledger handle millions of transactions per tenant without major performance degradation?","Load tests; query plans; benchmarks",TBD,
A197,Architecture,Performance,High,"Are balance calculations incremental or cached where necessary to avoid full recomputation on every screen?","Caching strategy; profiling evidence; tests",TBD,
A198,Architecture,Performance,Medium,"Can historical reports be generated efficiently for users with many years of data?","Report benchmarks; aggregation design; tests",TBD,
A199,Architecture,Async Processing,High,"Are long-running sync jobs processed asynchronously rather than blocking user requests?","Job queue; worker code; metrics",TBD,
A200,Architecture,Async Processing,High,"Can sync jobs be retried safely without duplicating records?","Retry logic; idempotency tests; queue config",TBD,
A201,Architecture,Idempotency,High,"Is the system idempotent for imports, webhooks, and provider callbacks?","Idempotency keys; duplicate protection; tests",TBD,
A202,Architecture,API Design,Medium,"Are APIs versioned so clients are not broken by backward-incompatible changes?","API versioning strategy; docs; routing",TBD,
A203,Architecture,Deployment,Medium,"Can modules be deployed independently or at least evolved independently?","Service boundaries; deployment pipeline; docs",TBD,
A204,Architecture,Resilience,High,"Are provider outages isolated so one failed integration does not affect the rest of the platform?","Circuit breakers; fallback logic; chaos tests",TBD,
A205,Architecture,Eventing,Medium,"Is there a queueing or event-driven mechanism for reconciliation, notifications, and recalculation tasks?","Event bus; workers; architecture docs",TBD,
A206,Architecture,Scalability,High,"Can the platform scale horizontally under peak usage such as end-of-month reporting periods?","Autoscaling config; load tests; metrics",TBD,
A207,Architecture,Data Workloads,Medium,"Are read-heavy analytics workloads separated from write-heavy transactional workloads?","Read replicas; warehouse design; docs",TBD,
A208,Architecture,Observability,High,"Is there monitoring for latency, error rate, queue depth, failed syncs, and stale balances?","Dashboards; alerts; SLO metrics",TBD,
A209,Architecture,Service Levels,Medium,"Are service-level objectives defined for login, dashboard load, sync freshness, and report generation?","SLO docs; dashboards; alert thresholds",TBD,
A210,Architecture,Multi-Tenancy,Medium,"Can the platform support multi-tenant isolation safely if the business model later expands to advisors or family offices?","Tenant model; isolation tests; docs",TBD,
A211,Architecture,Data Residency,Low,"Are regional data-hosting and residency requirements configurable if business needs change?","Infra design; deployment options; docs",TBD,
A212,Architecture,Release Management,Medium,"Can the system support feature flags for staged rollout of risky finance features?","Feature flag framework; rollout logs; tests",TBD,
A213,Architecture,Database Change Management,High,"Is schema migration strategy safe for large financial datasets and zero-downtime releases?","Migration tooling; rollback plan; tests",TBD,
A214,Architecture,Data Quality,High,"Can corrupted external data be quarantined before it contaminates the core ledger?","Validation layer; quarantine queue; tests",TBD,
A215,Architecture,Traceability,High,"Is every derived metric reproducible from source data and business rules?","Lineage docs; reproducibility tests; audit queries",TBD,
A216,Architecture,Configuration,Medium,"Are reconciliation rules, tax rules, and categorization rules configurable rather than hardcoded?","Rules engine; admin config; tests",TBD,
A217,Architecture,Vendor Abstraction,Medium,"Can the company swap a market-data provider, FX provider, or bank-aggregation provider with limited rewrite?","Provider interface layer; integration tests",TBD,
A218,Architecture,Documentation,Medium,"Is documentation sufficient for another engineering team to extend the platform safely?","Architecture docs; ADRs; API docs",TBD,
A219,Architecture,Testing,High,"Are automated tests present for critical money flows, permissions, imports, syncs, and calculations?","Test suites; CI results; coverage reports",TBD,
